LY86_Treated_Sample1 LY86_Treated_Sample2 LY86_Treated_Sample3 LY86_Treated_Sample4 LY86_Treated_SampleComb
C17orf49 -0.111722271 -0.087100465 0.076203248 -0.358165412 -0.120196225
C2orf68 0.200626796 0.124958576 -0.484495092 -0.099831242 -0.06468524
C4orf19 -0.132220128 -0.07007783 -0.198401927 0.04775866 -0.088235306
C4orf54 0.406292653 0.03458545 -0.223947563 0.000369735 0.054325069
C11orf58 -0.160141082 -0.09333325 0.011737131 -0.022027192 -0.065941098
C9orf24 0.182277289 -0.139466117 -0.139466117 0.135540931 0.009721497
C8orf33 0.167817923 0.062887661 0.047349746 -0.157247092 0.030202059
C9orf85 -0.14287709 -0.26340034 0.145557991 0.266095884 0.001344111
KIAA1143 -0.396172882 -0.508696014 0.141823117 0.266626559 -0.124104805
C1orf122 0.267071384 0.388880814 -0.166086947 -0.497713319 -0.001962017
C16orf74 -0.067270677 -0.197536317 0.249042699 -0.933036503 -0.237200199
C12orf75 -0.320031724 -0.911840175 0.244053447 -0.754819007 -0.435659364
C6orf120 0.205044065 -0.115289634 -0.045101786 0.07999726 0.031162476
C19orf12 0.43201379 0.501258175 0.056083415 0.070344108 0.264924872
C9orf50 -0.034064623 -0.559158734 0.006438441 -0.461547938 -0.262083213
C2orf81 0.0556289 -0.2808262 0.024519011 -0.061381062 -0.065514838
C20orf144 0.199804546 0.151692717 -0.225749559 -0.619884128 -0.123534106
C19orf81 0.75496769 0.521374234 -0.255187535 0.007846871 0.257250315
C6orf118 0.113305319 -0.298373405 0.05908526 -0.062378252 -0.047090269
C4orf36 -0.192621572 -0.393382197 -0.393382197 -0.393382197 -0.343192041
C15orf39 -0.155455012 -0.215616915 -0.464905572 -0.460451431 -0.324107233
C2orf88 -0.083388862 0.320787885 -0.272891833 0.188671817 0.038294752
C17orf50 0.628952339 0.355455687 -0.07124473 0.348469257 0.315408138
C9orf131 -0.122832117 -0.21734903 0.069532118 -0.053850297 -0.081124831
C1orf21 -0.151081455 -0.385576084 0.302418868 0.242975685 0.002184253
C4orf47 0.125457419 0.242493989 0.347336355 0.600222805 0.328877642
C16orf46 0.273735045 0.027171113 -0.026268146 0.297473519 0.143027883
C19orf44 -0.028208981 -0.162110859 -0.289429689 -0.096784612 -0.144133535
C16orf90 0.118497886 0.621741437 -0.06610639 -0.12776941 0.136590881
C20orf27 -0.238273661 -0.093822791 -0.140123419 -0.287935514 -0.190038846
C2orf69 0.293022666 -0.121532174 -0.018677415 0.284825868 0.109409736
C19orf67 0.006951841 0.200730222 -0.018582806 -0.202028948 -0.003232423
LINC00643 0.089247623 -0.255178249 0.145359681 -0.255178249 -0.068937298
C22orf23 -0.453092027 -0.048961066 0.040627729 0.2640988 -0.049331641
C2orf74 -0.330282384 0.123893509 0.509677203 -0.330282384 -0.006748514
C3orf62 -0.708515109 -0.845632415 -0.995010039 -0.214127328 -0.690821223
C14orf119 0.001639155 -0.077551647 0.008416457 0.072343783 0.001211937
C11orf98 -0.170966985 -0.305317525 0.073458304 -0.316351575 -0.179794445
